"I'm all the way here for it. Slay on 
@Beyonce
  #formation" "Feb 6, 2016"
"RT for Rihanna - 'Work' / FAV for Beyoncé - 'Formation'" "Feb 6, 2016"
"Beyonce’s Fiery New Black Power Anthem: Typically low-key about her activism, Beyonc has been more outspoken t... http://bit.ly/1PstZru" "Feb 6, 2016"
"Beyonce done cockblocked my new upload today. I C U BEY " "Feb 6, 2016"
"This entire video was just...ICONIC!  #Beyonce #Formation #BlackHistoryMonth" "Feb 6, 2016"
"Blue Ivy's all smiles in Beyoncé's powerful new video for #Formation: http://bit.ly/1Xb1OCH" "Feb 6, 2016"
"""The best revenge is yo paper"" 

-Beyoncé    " "Feb 6, 2016"
"Watch the video for ""Formation,"" the stirring new Beyoncé single. http://slate.me/1TLno0F" "Feb 6, 2016"
"my aesthetic: Beyonce in a jersey" "Feb 6, 2016"
"Red lobster and 7/11 need to thank Beyoncé." "Feb 6, 2016"
"If it wasn't for Future there wouldn't be a Beyonce" "Feb 6, 2016"
"Okay, ladies now let's get in formation #beyonce" "Feb 6, 2016"
"""Why doesn't Beyoncé say anything?"" 
*Bey makes a statement*
""She's just doing it to be trendy""" "Feb 6, 2016"
"Unapologetically BLACK as hell!!!! Loving Beyonce right now." "Feb 6, 2016"
" anti Beyoncé Twitter so ugly" "Feb 6, 2016"
"The slave plantation imagery that 
@Beyonce
 captured in #Formation is riveting & many will miss. #Beyonce #SLAY" "Feb 6, 2016"
"When all of your favorite releasing music at the same time and you don't know how to act. #Future#Rihanna#Beyonce" "Feb 6, 2016"
"collard greens & cornbread – Fantasia
beggin' & pleadin' – Brandy
formation – Beyoncé " "Feb 6, 2016"
"Beyoncé and Rihanna wack. Straight up. Y'all be so gassed it's funny doe " "Feb 6, 2016"
"Beyoncé left my edges looking like the mystery meat at lunch" "Feb 6, 2016"
"Red Lobster was struggling and closing down locations. They should send beyonce a lifetime supply of cheddar bay biscuits" "Feb 6, 2016"
"had to wait until i got service to watch beyonce's video  but anywho......." "Feb 6, 2016"
"Can't wait to see all the white confusion when Beyonce performs Formation at the #SuperBowl tomorrow." "Feb 6, 2016"
"@thedailybeast
 @Beyonce
 you all couldn't wait to write that.   Have a seat." "Feb 6, 2016"
"i'm watching how clean is ur house on youtube and i can't stop laughing kim and aggie were fucking better than any beyoncé album ever EVER" "Feb 6, 2016"
"""to meet Beyoncé would you-""
yes
""I didn't even-""
the answer is yes" "Feb 6, 2016"
"I will say I love how Beyonce responds to criticism and speculation thru her music instead of social media. That's the professional approach" "Feb 6, 2016"
"Let's all just have a 
@Beyonce
 moment." "Feb 6, 2016"
"Thanks Beyonce for this Black girl anthem." "Feb 6, 2016"
"Mom: Who's in the Super Bowl again?
Me: Beyoncé & Coldplay & Bruno Mars.
Mom: No Cheyenne, the teams.

Oh." "Feb 6, 2016"
"Solange and Beyoncé can BOTH rep their blackness! It's not a thing where one sister can't and one sister can" "Feb 6, 2016"
"Beyoncé is invested in the gun industry – are you?" "Feb 6, 2016"
"White people, why are y'all really mad? Is it because Beyoncé reminded y'all she is hella black and hella proud?" "Feb 6, 2016"
"Me looking at my TL and all these people saying Beyoncé is trying to look white……" "Feb 6, 2016"
"you can like Beyoncé and Rihanna ppl " "Feb 6, 2016"
"Brooke Candy drops the Happy Days video. Beyoncé releases a surprise single/video. Gaga at the Super Bowl tomorrow. Gay Jesus wants me dead." "Feb 6, 2016"
"""I like my baby hair with baby hair & afro""  
@beyonce
 shining a light on us for a moment  #formation" "Feb 6, 2016"
"Beyoncé so influential" "Feb 6, 2016"
"#Formation is a beautiful and insightful video 
@Beyonce" "Feb 6, 2016"
"Beyoncé the eternal queen" "Feb 6, 2016"
"just 140 fire emojis here for the new Beyonce video" "Feb 6, 2016"
"When a Taylor swift fan calls beyonce overrated ... ANYWAYS " "Feb 6, 2016"
"Honestly, if you gonna hype Beyoncé's #Formation, you gotta rock with Usher's #Chains. #SupportTheCulture" "Feb 6, 2016"
"Beyoncé can do no wrong in my eyes." "Feb 6, 2016"
"News flash: Beyonce knows no matter what she does she'll never be Black enough for some of y'all & she doesn't care." "Feb 6, 2016"
"@iHipsterLee
  co-writes Beyoncé single and 
@brittanyrennerr
 drops a fitness app !! Mississippi going up today !!" "Feb 6, 2016"
"The fact that this is in a Beyonce video" "Feb 6, 2016"
"and they shall officially be renamed cheddar beyonce biscuits" "Feb 6, 2016"
"I've been carrying mustard in my purse for years and nobody has ever cared. #Beyonce #FairEnough" "Feb 6, 2016"
"Wave started before a Beyonce cosign!" "Feb 6, 2016"
"plot twist: Swae Lee from Rae Sremmurd co-wrote Beyoncé new song" "Feb 6, 2016"
"Y'all go so hard for Beyoncé " "Feb 6, 2016"
"""Best Thing I Never Had"" #Beyonce #Diva #TeamJuliaGomes  https://instagram.com/p/BBds5t1gdAJ/" "Feb 6, 2016"
"People who don't like Beyoncé be mad as shit on days like this." "Feb 6, 2016"
"I was wondering why they decided to donate that money now... New beyonce video > Trayvon Martin's birthday" "Feb 6, 2016"
"Beyoncé did not need to PROVE her blackness to anyone, y'all out here trying to ""confirm"" she's black as if it was questionable " "Feb 6, 2016"
"Beyoncé basically said ""I love my blackness, and y'all will DEAL!"" " "Feb 6, 2016"
"(To be clear: I'm an editor at a food publication. I need the food angle in order to justify spending my freelance budget on Beyonce.)" "Feb 6, 2016"
